Teks|Sentimen
Miris! Warga RI Tak Mampu Bayar Cicilan Mobil-Motor, Ini Alasannya|Negatif
Sosok Morgan Stanley: Sentil Program Prabowo & Guncang Pasar Modal RI|Netral
Alasan Sebenarnya 12 Bank Bangkrut di RI Sejak Awal 2024, Cek Daftar!|Negatif
Jelang Iduladha, Pertamina Patra Niaga Sigap Tambah Solar dan LPG 3 Kg|Positif
Ketakutan Terbesar Jokowi Jadi Kenyataan, Bankir Kompak Bersuara|Netral
Belajar dari Manusia Rp 1.900 T, Makan Kaki Lima dan Hormat Orang Tua|Netral
OJK Buka-bukaan Nasib Merger 2 Bank Milik Konglomerat RI|Netral
Banyak ATM Berguguran di RI, Bank Sudah Punya Penggantinya|Netral
Bank di Indonesia Ramai-Ramai Tutup Ribuan ATM, Ini Alasannya|Negatif
Manusia Rp1.900 Triliun Ternyata Belajar Cara Sukses dari Tukang Kebun|Netral
M-Banking Target Utama Penipu Buat Kuras Rekening, Kenali Modusnya|Netral
Pemilik Emas Makin Cuan, Harga Emas Pegadaian Naik Lagi Hari Ini|Positif
Biaya Hidup Mahal Bikin Warga RI Susah Bayar Cicilan Mobil & Motor|Netral
Tukar Dolar Makin Mahal, Sudah Tembus Rp 16.675 di Bank|Negatif
Pengaruh Ini Bawa BRI Jadi Perusahaan Paling Top Versi Forbes|Positif
Ini Alasan BRI Masuk Daftar The Global 2000 dari Forbes|Positif
Fundamental Kuat Bikin Investor Membludak, BBRI Saham Milik Rakyat|Positif
Perampokan Emas Besar-Besaran 960 Kg Terungkap, Akibat Ulah Istri|Negatif
Duh! Adidas Tersangkut Skandal, Pegawai di China Gelapkan Jutaan Dolar|Negatif
Bedah Saham Asuransi Grup Pertamina (TUGU), Ini Rekomendasinya|Netral
Sekuritas Asing Rekomendasikan Saham BNI (BBNI) Beli, Segini Targetnya|Positif
"Menguak Misteri ""9 Naga"", Sosok Penguasa Ekonomi Indonesia"|Netral
Pengumuman! Harga Minyak Tergelincir Lagi, Ini Biang Keroknya|Negatif
Daftar Sosok 9 Pemilik Mal Raksasa di Jakarta|Netral
Untung IHSG Libur, Bursa Asia Lagi Merah Merona!|Negatif
Sosok 2 'Raja' Penagih Utang di RI, Bangun Bisnis bak Dinasti|Netral
Warren Buffet Borong 29% Saham Perusahaan Minyak, Ini Bocorannya|Positif
Wall Street Dibuka di Zona Hijau, Ini Dia Sebabnya|Positif
Daftar Saldo Minimum BCA, BRI, BNI, dan Bank Mandiri Terbaru|Netral
Fundamental Bisnis Kimia Farma Tetap Kuat untuk Cetak Profitabilitas|Positif
Kerugian Negara Tembus Rp 300 Triliun, Ini 22 Tersangka Kasus Timah|Negatif
Usai 'Terbang' Tinggi, Harga Minyak Dunia Kembali Nyungsep|Negatif
Pasar Asia-Pasifik Mengekor Kenaikan Wall Street, Investor Tunggu Ini|Positif
12 Bank RI Ini Sudah Bangkrut Sejak Awal 2024, Ini Daftarnya..|Negatif
Daftar Borok Indofarma Terungkap, Holding BUMN Farmasi Buka Suara|Negatif
Mantap! Laba Jobubu Jarum Minahasa (BEER) Tumbuh 16,05% di 2023|Positif
Kinerja Biofarma 2023: Pendapatan Ambles 88%, Laba Anjlok 70%|Negatif
Perusahaan Nuklir RI (INUKI) Sudah Tak Beroperasi Sejak April 2023|Negatif
Blibli Mau Private Placement dan Bagi-Bagi MESOP 9,4 M Saham Baru|Positif
Emiten Kemasan Kertas (PPRI) Labanya Melonjak 296%, Segini Nilainya|Positif
S&P 500 Cetak Rekor Intraday Ditopang Reli Saham Nvidia|Positif
Soal Penetapan PKPU Tetap, Ini Penjelasan Emiten Grup Bakrie (MDIA)|Netral
Dolar AS Tembus Rp 16.400, Airlangga: Kita Monitor Saja!|Negatif
Wamen BUMN Sebut Bakal Tindak Tegas Pengurus Bermasalah Indofarma|Netral
Setoran Dolar Eksportir ke RI Menyusut, Loh Kenapa?|Netral
Investor Was-was APBN Bikin Rupiah Anjlok, Sri Mulyani Jawab Begini!|Netral
RI, China & Malaysia Makin Kompak Buang Dolar AS|Netral
Nasib Multifinance, Jatuh Tertekan NIM & Tertimpa Risiko Kredit Macet|Negatif
Jokowi Panggil Sri Mulyani Cs Imbas Dolar Rp16.400, Ini Hasilnya!|Netral
KB Bank Sediakan Fasilitas Kredit Rp 700 M ke Mayapada Healthcare|Positif
Laba Benteng Api (BATR) Naik 18%, Ini Penopangnya|Positif
Ternyata Revisi Aturan Buat GOTO Lebih Susah Kena FCA|Netral
Setelah Diprotes Keras Ritel, MUI Sebut Transaksi FCA Haram|Netral
Ada Kabar BTN Batal Caplok Bank Muamalat, Ini Kata Wamen BUMN|Negatif
Kiamat' ATM di Depan Mata, Transaksinya Anjlok Parah|Negatif
Wamen BUMN Sebut Saham BSI Jadi Penopang IHSG|Positif
Genjot Industri Halal, Ma'ruf Amin Apresiasi Ajang BSI Ini|Positif
Laris Manis! Kepemilikan Asing di SRBI Tembus Rp 180 T|Positif
NPL Bank Naik, Ini Kata Bos Bank Indonesia|Negatif
Segudang Prestasi, BRI Jadi Perbankan No 1 di RI Versi Fortune 500|Positif
S&P 500 & Nasdaq Loyo, Terbebani Saham Nvidia yang Ambles 4%|Negatif
Bukan Tapera, Ini Solusi Atasi Backlog Perumahan Menurut BTN|Netral
Investor Was-was APBN Jebol, Kubu Prabowo: Tenang Belanda Masih Jauh!|Netral
Mandiri Jadi Official Banking Partner Konser Bruno Mars, Cek Infonya|Positif
Emiten Nikel Adhi Kartiko (NICE) Ganti Direksi dan Tak Bagi Dividen|Negatif
Bakrie & Brothers (BNBR) Mau Kuasi Reorganisasi, Begini Kinerjanya|Netral
IHSG Perkasa Jelang Akhir Pekan, Ini Pendorongnya|Positif
Investor Bikin Petisi Protes FCA, Bursa Bakal Buka Bid Offer?|Negatif
Perkuat Layanan, SRAJ Luncurkan Mayapada Eye Centre|Positif
Hermanto Tanoko Hilang dari Top 20 Pemegang Saham BDMN, Ini Alasannya|Negatif
Baznaz Bidik Zakat, Infaq, Sedekah Warga RI Capai Rp 42 Trilun|Positif
Luhut Happy Ide Bentuk Family Office Disetujui Jokowi|Netral
MUI Cap Haram Short Sell Saham, Ini Jawaban Bursa Efek Indonesia|Netral
Rangking Industri Syariah RI Ke-3 di Dunia, Setelah Malaysia dan Arab|Positif
Cek Kurs Mata Uang Asing Hari Ini: Dolar AS, SGD, Riyal, Yen & Won|Netral
IHSG & Rupiah Jatuh ke Jurang, Alarm Buat Prabowo-Gibran?|Negatif
IHSG Ditutup Naik 0,89% Jumat (21/6), Ini Penyebabnya|Positif
Intip 10 Bank dengan Bunga KPR Paling Rendah, Ada yang Cuma 5%|Netral
Top! BRI Jadi Perusahaan Terbesar di Indonesia Versi Forbes|Positif
Hutama Karya Buka Suara Soal Kasus Korupsi di Jalan Tol Trans Sumatera|Netral
OJK Panggil 17 Nasabah Kasus Dana Hilang, Ini Kata BTN|Negatif
Soal Sampah Plastik Kemasan, Unilever Buka Suara|Netral
Rupiah Terburuk Sejak Pandemik Covid-19, Dolar Ditutup Rp16.445|Negatif
Airlangga Jamin Defisit APBN Saat Prabowo Presiden Aman di Bawah 3%|Netral
Lo Kheng Hong Bongkar Rahasia Cuan: Siapapun Bisa Kaya dari Saham|Netral
Rupiah Melemah ke Rp16.450, Airlangga Tegaskan Fundamental RI Sehat!|Negatif
Rupiah Anjlok Karena Investor Takut RI Boncos, Airlangga: Salah Alamat|Negatif
Michael Steven Masih Buron, Kresna Life Malah Menang Banding Lawan OJK|Negatif
Kisah PMI di Korea Investasi Rp 361 Juta Pakai Livin' by Mandiri|Netral
50 Bank Sentral dengan Cadangan Emas Terbesar di Dunia, BI Masuk Gak?|Netral
Daftar 10 Bank Dengan KPR Rendah, Ada yang 5%!|Netral
Mandiri Sahabatku Dorong Pekerja Migran RI Naik Kelas Jadi Pengusaha|Positif
Hati-Hati! Ada Fatwa Haram MUI Terbaru Soal Short Selling & FCA|Netral
BSI Bidik Pembiayaan Rumah Tumbuh 12,4% di 2024|Positif
Jangan Masuk Jebakan! 537 Pinjol Ini Masuk Daftar Ilegal Terbaru 2024|Negatif
Dolar Sentuh Rp16.475, Warga RI Do Your Magic! Lakukan 6 Jurus Ini|Netral
Diam-Diam Sudah 6.490 Kantor Bank Ditutup, Lebih 4.600 ATM Lenyap|Negatif
Pemerintah Godok Dana Abadi Perumahan, Begini Perhitungan Bos BTN|Netral
Kisah Raja Rokok RI Ganti Nama Produk Gegara Bisikan Mimpi|Netral
Kebiasaan Warga RI yang Tampak Bagus Padahal Bikin Miskin|Netral
Bursa Pilgub Jakarta: Adu Kekuatan Anies, RK, Ahok, hingga Kaesang|Netral
Kisah Kejatuhan Raja Ritel RI Hingga 'Menyerah' kepada Keluarga Riady|Netral
Aturan Terbaru Saldo Minimum BCA, Mandiri, BNI, dan BRI|Netral
Terjadi Lagi! Direksi BRI Borong Saham BBRI|Positif
Pekerja Migran RI Ungkap Tips Cuan Pakai Aplikasi Livin' by Mandiri|Netral
Alasan Pekerja Migran RI Pilih Simpan Uang di Livin' by Mandiri|Netral
DPR Minta BI Siapkan Skenario Jika Dolar Tembus Rp17.000-20.000|Netral
Wall Street Dibuka Variatif, Investor Tunggu Data Inflasi AS|Netral
Mayoritas Eksportir Patuh, Mei 2024 Setor Dolar ke RI US$12 M|Positif
Taspen Boncos, Bayar Klaim 2 Kali Lipat dari Iuran Premi|Negatif
FCA Bikin Heboh, Mantan Bos BEI Buka Suara dan Kirim Surat Terbuka|Netral
Sritex (SRIL) Bantah Bangkrut, Bos Besar Buka-bukaan|Netral
Bank Dunia Sebut Sektor Ini Jadi Motor Ekonomi RI|Netral
Kurangi Utang Baru, Sri Mulyani Pakai Dana Cadangan APBN Rp200 T|Netral
DPR Desak Soal Investasi Fiktif Rp 1 T, Bos Taspen Buka Suara|Negatif
Premi Baru Tembus Rp 1,3 T, MSIG Life Sukses Jaga Pertumbuhan di 2023|Positif
Energi Mega (ENRG) Batal Tarik Saham Buyback, Ini Alasannya|Negatif
Jadi Dirut Baru KAEF, Djagad Siap Tingkatkan Kinerja Perusahaan|Positif
Impack Pratama Industri (IMPC) Akuisisi 100% Saham Mulford Holdings|Positif
Nvidia Topang Wallstreet, Nasdaq & SP500 Kompak Naik|Positif
Bos LPS Kaget Perbankan di Jerman 80% Dikuasai Bank Kecil Syariah|Netral
Avia Avian (AVIA) Gondol Paten Global 2 Produk Cat Ini|Netral
MSIG Life (LIFE) Resmi Spin Off Unit Usaha Syariah, Ini Bocorannya|Netral
Maximus Insurance Bayar Klaim ke OT Group, Segini Nilainya|Netral
Bos OJK Blak-blakan Soal Tantangan di 2025, Pinjol Hingga Judi Online|Netral
Wall Street Dibuka Merah, Apa yang Ditunggu Investor?|Negatif
IFG Life Resmi Akuisisi Mandiri Inhealth|Positif
Laba Naik 77%, Data Sinergitama (ELIT) Bagi Dividen dan Buyback Saham|Positif
Sultan Subang Mundur Dari Komisaris Utama Indo Pureco (IPPE)|Netral
Laba Remala Abadi (DATA) Naik, Ini Penopangnya|Positif
Ini Jurus Kimia Farma (KAEF) Optimalkan Kinerja Perusahaan|Positif
Dato Tahir Mundur Dari Wakil Komisaris Utama SRAJ, Ini Alasannya|Netral
20 BUMN RI Ini Masuk Daftar 500 Perusahaan Besar di Asia|Netral
OJK Targetkan Penerimaan Iuran 2025 Rp 8,5 Triliun, Buat Apa Saja?|Netral
BEI Anggap FCA Penyelamat Likuiditas Saham Gocap, Ini Alasannya|Positif
Short Selling Ramai di Kalangan Investor, Begini Kata OJK|Netral
IHSG Balik Ke 6.900-an Lagi, Saham AMMN Jadi Penopang|Positif
Bursa Siapkan Market Maker, Saham 'Zombie' Bakal Makin Dikit|Netral
Rupiah Balik Merana, Dolar Hari Ini Jadi Rp 16.400/US$|Negatif
BEI Cabut Gembok Saham Nusantara Infrastructure (META), Ini Alasannya|Netral
Pasar Saham RI Tahun Ini Lesu, IHSG Sudah Amblas 5,4%|Negatif
BEI: 10 Sekuritas Ajukan Diri Fasilitasi Short Selling|Netral
Tren Koreksi Saham Penghuni LQ45-MSCI, dari BMRI hingga GOTO|Negatif
Tok! Ini Nama 5 Komisaris Baru Bursa Efek Indonesia, Ada Eks Bos OJK|Netral
Laba Bursa Efek Indonesia Anjlok 40,3% di 2023, Ini Penyebabnya|Negatif
Error Hampir 3 Jam, BCA Mobile dan myBCA Sudah Kembali Normal|Netral
Panin Sekuritas Bagi Dividen Rp 180/ Saham, Simak Jadwalnya|Positif
Emiten RI Ramai-Ramai Rights Issue & Private Placement, Ini Daftarnya|Netral
Bye-bye Kartu Kredit, Warga RI Kini Makin Doyan Pay Later|Netral
DPR Sorot Korupsi di Dapen BUMN, Bos Taspen Buka Suara|Negatif
BCA Mobile dan myBCA Error, Manajemen Bilang Gini|Negatif
Sah! J Trust Bank & J Trust Consulting Indonesia Jadi Mitra Bank Tanah|Positif
Investor Pasar Modal RI Tembus 13 Juta|Positif
Terancam Disuntik Mati, BUMN Sakit Masih Ada yang PKPU|Negatif
Wall Street Bergerak Mix, Investor Tunggu Data Inflasi Besok|Netral
Mantap! Sunarso Dinobatkan Sebagai The Best CEO dari Finance Asia|Positif
MUI Bilang Short Selling Haram, Ini Tanggapan Bos OJK|Netral
Pusat Data Nasional Dihack, Bos Bursa Tegaskan Data AB Aman|Netral
OJK Kasasi, Kresna Life Bisa jadi Perusahaan 'Zombie' Kalau Ngeyel|Negatif
OJK Buka Suara Soal Usulan Perpanjangan Relaksasi Kredit Covid-19|Netral
Hasil Stress Test The Fed: Bank AS Kuat Salurkan Kredit Walau Resesi|Netral
OJK Minta Perbankan Waspada, Perubahan Iklim Bisa Picu Risiko Sistemik|Netral
J Trust Bank Optimis Kejar Target Bisnis di 2024|Positif
TLKM Juat Rp 685 M Aset Telkomsel ke Dhost Telekomunikasi|Netral
Islamic Coin Dapat Fatwa Halal MUI Kenya, Ini Alasannya|Positif
Berkaca dari Bank Mandiri, CT Ungkap Kunci Bisnis Berkelanjutan|Netral
Ternyata Segini Besaran dan Lama Balik Modal Usaha Alfamart|Netral
WIKA Masuk Jajaran Top 203 Perusahaan Terbaik Asia Tenggara|Positif
Bos Mandiri Ungkap Keuntungan Suku Bunga BI 6,25%|Netral
Sosok Raja Muslim Terkaya Sepanjang Sejarah, Harta Tembus Rp 8.000 T|Netral
Israel Bombardir Gaza, Mesin Uang Orang Terkayanya Populer di RI|Netral
Kisah Habibie Berhasil Buat Dolar Rp 16.800 Jadi Rp 6.550, Wow!|Netral
Mau Bangun Rumah, Segini Upah Tukang Kayu hingga Listrik 2024|Netral
Alasan Sebenarnya Bank Ramai-ramai Tutup ATM di Indonesia|Negatif
Cara Jadi Nasabah Prioritas BRI-BCA-BNI-Mandiri, Siapkan Saldo Segini|Netral
Ketakutan Terbesar Jokowi Terbukti, Bankir Kompak Teriak Ini|Negatif
Warren Buffett Sempurnakan Wasiat, Ini Titah atas Warisan Rp 2.100 T|Netral
12 Bank RI Sudah Bangkrut Sejak 2024, Ini Daftar Lengkapnya|Negatif
Legenda Emas Soekarno 57 Ton di Bank Swiss Akhirnya Terkuak|Netral
Skandal Gunung Emas RI, Seret Kroni Soeharto-Investor Rugi Triliunan|Netral
Emiten Properti Aguan (PANI) Mau Bagi Dividen & Tambah Modal|Positif
Bumi Resources (BUMI) Angkat Lagi Komisaris Utama dan 3 Direktur|Netral
Ukir Sejarah, Ini Alasan CT Corp Kolaborasi dengan Bank Mandiri|Positif
14 BUMN Sakit, 6 Perusahaan Sekarat Terancam Disuntik Mati-Ini Namanya|Negatif
BRI Himbau Masyarakat Jaga Keamanan Transaksi Lewat BRIMerchant|Positif
Salim Group Mau Borong 35% Saham Tol Trans Jawa, Ini Bocorannya|Positif
Lo Kheng Hong Sebut Menabung Bikin Orang RI Miskin, Kenapa?|Netral
Bikin Ngeri! Begini Nasib RI Kalau Dolar AS Tembus Rp20.000|Netral
Dolar Belum Tembus Rp20.000, Warga RI Sudah Gak Kuat Bayar Cicilan|Negatif
Ikut Anjuran Nabi, Pria AS Ini Bisa Kantongi Harta Rp118 Triliun|Netral
Daftar Kekayaan 7 Presiden RI, Ternyata Ini yang Paling Kaya Raya|Netral
LPEI Minta Suntikan APBN Rp10 T, Ini Syarat DPR!|Netral
Bursa Pamer Penghimpunan Dana Tumbuh Lebih Besar dari Kredit Bank|Positif
Ajukan PMN Rp965 M, INKA Siap Produksi Kereta Besar-besaran!|Netral
Setelah Akuisisi Mandiri Inhealth, Ini Fokus Bisnis IFG Life|Netral
Minta Suntikan Duit Rp 2 T, Bos KAI Beberkan Dampaknya ke Keuangan|Netral
Mantap! MIND ID Resmi Jadi Pemegang Saham Terbesar Vale Indonesia|Positif
Garap Nasabah Tajir, HSBC Gandeng Plaza Indonesia|Positif
BRI Mau Tutup Rekening Pasif, Ini Ketentuan Baru per Agustus 2024|Netral
Mitratel Tawarkan Obligasi dan Sukuk Rp 3 T, Kupon 6,5%|Positif
The Fed Masih Ragu Pangkas Suku Bunga, Wall Street Dibuka Melemah|Negatif
12 Bank di RI Bangkrut Dalam 6 Bulan Terakhir, Ini Penyebabnya|Negatif
Bos HK: Penerapan MLFF Belum Cocok di Tol Trans Sumatera|Netral
Minta Suntikan Rp1,1 T, Perumnas Janji Atasi Kebutuhan Rumah Layak|Netral
PTPN III Usulkan PMN Non Tunai Rp828,36 M|Netral
Ini Perbandingan Modal Buka Alfamart dan Indomaret, Murah Mana?|Netral
Luhut Beberkan Seabrek Syarat Bagi RI Bangun Family Office|Netral
BUMN Ini Terancam Suntik Mati tapi Minta Duit ke Negara, Buat Apa?|Netral
Biofarma Minta PMN Rp68 M, Janji Hasilkan Rp50,4 M dari Jualan Vaksin|Netral
Sebulan Utang RI Tambah Rp14,5 T, Ini Penjelasannya!|Negatif
Bye Muamalat, BTN (BBTN) Bakal Pilih Victoria Syariah?|Netral
Waduh, Citigroup Jadi Tempat Favorit Kriminal Cuci Uang|Negatif
Mantap! PTPP Penuhi Kewajiban Obligasi & Sukuk Mudharabah Tepat Waktu|Positif
Saham BREN Anyep, IHSG Berbalik Jadi Loyo|Negatif
Tren Penguatan Rupiah Berakhir, Dolar Naik Lagi Jadi Rp16.390|Negatif
Ini Sosok 2 Orang Terkaya RI yang Kompak Borong Saham AMMN|Netral
Laba Bersih Astra Financial Naik 12%, Ini Penopangnya|Positif
Ini Dia Manuver Terbaru Emiten Arsjad Rasyid (INDY) di Patimban|Netral
Bali Towerindo (BALI) Tambah Kredit ke Bank Mandiri (BMRI)|Positif
Pengelola Matahari (LPPF) Buka Suara Soal Penutupan Gerai|Netral
Butuh Suntikan APBN Beli Baru, Pelni: Kapal Lama Sudah Tua!|Netral
Di RUPST KB Bank Ungkap Pertumbuhan Kinerja Hingga Perubahan Pengurus|Netral
Lewat Prestasi Ini, BRI Sukses Harumkan Nama RI di Kancah Global|Positif
Kemenkeu Siapkan Rp12,2 T Jamin Utang BUMN Gagal Bayar|Negatif
Perbandingan Kinerja Bank Victoria Syariah & Muamalat, BTN Pilih Mana?|Netral
Emiten RS Grup Lippo (SILO) Tender Offer, Tawar Saham Harga Segini|Netral
HK Butuh Suntikan Rp 1 Triliun, Tol Lampung-Jambi Bisa Selesai 2025|Netral
IHSG Menguat Lagi, 5 Saham Ini yang Topang|Positif
Sri Mulyani Mau Suntik Pelni Rp500 M Buat Beli Kapal Baru Rp1,5 T|Positif
Daftar Lengkap Biaya Tarik Tunai ATM Bersama Semua Kartu Bank|Netral
Butuh Duit Rp 494 Juta Buat Buka Indomaret, Kapan Balik Modal?|Netral
Kupas Tuntas Strategi Bank Mandiri Majukan PMI di Korea Selatan|Netral
Bukti Nyata China 'Jajah' Dunia, Siap-Siap Bayar Mahal Layanan Ini|Netral
SRBI Lebih Dilirik Investor Dibandingkan SBN, Ini Buktinya!|Netral
Selesaikan Tol Palembang-Betung, HK Bakal Disuntik APBN Rp1 T|Netral
Bank Mandiri Ungkap Alasan Lepas 600.000 Saham Mandiri Inhealth ke IFG|Netral
50 Emiten Terancam Ditendang Bursa, Ini Daftarnya|Negatif
MAPI Mau Bagi Dividen Rp 132 M atau Rp 8 per Saham, Cek Jadwalnya|Positif
Grup Astra Suntik Modal Rp 524 Miliar ke Entitas Usaha|Positif
Ada Transaksi Jumbo di Harga Premium, Tapi Saham GOTO Masih di Rp 50|Netral
Pentingkah Aturan Free Float Bagi Investor? Ini Jawabannya!|Netral
Permintaan Bensin di AS Melonjak, Harga Minyak Tertinggi dalam 2 Bulan|Positif
Jejak Family Office di Asia, Ada Kantor Milik Keluarga Hartono|Netral
IHSG Dibuka Menguat Lagi, Tapi Kenaikan Langsung Terpangkas|Positif
Krakatau Steel (KRAS) Catat Pendapatan Rp 3,68 T di Kuartal I|Positif
BEI Gembok Lagi Saham SAPX, Buka Suspensi KARW dan NASI|Negatif
Jelang Rilis Risalah FOMC, Dolar Menguat ke Rp16.375/US$|Negatif
GOTO Buka Suara Soal Transaksi Nego Saham Rp 6,07 Triliun|Netral
Indeks Nikkei Turun Usai Yen Jatuh ke Level Terendah Dalam 38 Tahun|Negatif
Pasar Tunggu Sabda The Fed, Dolar AS Bakal Tekan Rupiah Lagi?|Netral
Asing Terciduk Borong 10 Saham Ini Kala IHSG Lanjut Pesta Pora|Positif
Kisah Haji Isam, Dari Tukang Ojek Hingga Borong 2.000 Ekskavator|Netral
Ini Kata BRI Soal Usulan Jokowi Perpanjang Restrukturisasi Kredit Bank|Netral
Digadang Bakal Lawan Anies di Pilgub DKI, Segini Harta Andika Perkasa|Netral
IHSG Balik ke 7.100, Asing Diam-Diam Malah Lepas 10 Saham Ini|Negatif
Kebocoran Data Bikin Paranoid, Pelindo Pindahkan Data ke Swasta|Negatif
DPR Tegaskan Rupiah Rp 16.500 Bahaya, Idealnya Balik ke Rp 15.000|Negatif
Bos Garuda Kasih Trik Pergi ke Bali dengan Biaya Murah, Ini Caranya|Netral
53 Emiten Ini Belum Sampaikan Laporan Keuangan 2023, Kena Sanksi Bursa|Negatif
Emiten Pengelola Starbuck (MAPB) Rugi Rp22,23 M, Bos MAPI Bilang Gini|Negatif
Saham GOTO Bisa Masuk FCA, Mantan Bos Besar Bursa Malah Rajin Borong|Positif
2023, Pelindo Catat Laba Rp 4 Triliun|Positif
Baru 4 Sekuritas Terlibat, BEI Mau Gratiskan Biaya Transaksi Waran|Positif
IHSG Ngegas & Nyaris Sentuh 7.200, 5 Saham Big Cap Jadi Penopang|Positif
Valuasi Hingga Beda Visi Jadi Alasan BTN Batal Akuisisi Muamalat|Netral
Gagal Kelola Saham Rp 71 M, Influencer Ini Dicap BEI Belum Kompeten|Negatif
Ketidakpastian Global Bikin Waswas, Dolar AS Turun ke Rp16.365|Positif
Cegah Pungli, Bos Pelindo Ungkap Rencananya Soal Gerbang Otomatis|Netral
Fix! DPR Tolak Usulan PMN Bank Tanah Senilai Rp 1 Triliun|Netral
MIND ID Telah Terima Divestasi Saham Vale Indonesia (INCO)|Positif
DPR Minta Tambah PMN Rp 1,5 T untuk Pelni, Sri Mulyani Beri Syarat Ini|Netral
Harita Nickel (NCKL) Mau Akuisisi Tambang Nikel di Obi|Positif
Jual Tol Cibitung-Cilincing, Utang Pelindo Bakal Susut Rp 8 T|Positif
Bumi Resources (BUMI) Jual 100% Saham CPM ke BRMS, Segini Nilainya|Netral
MD Pictures (FILM) Bagi Dividen Rp 25 Per Saham, Catat Jadwalnya|Positif
Anak Usaha Pelindo Pantau Pergerakan Kapal Kargo Secara Realtime|Netral
Tolak Sri Mulyani, DPR Hanya Setujui Suntikan PMN Rp 5 T untuk LPEI|Netral
Grab, Singtel dan KakaoBank Suntik Superbank Milik Emtek Rp 1,2 T|Positif
BEI Buka-Bukaan 2 Perusahaan Besar Akan IPO Tahun Ini|Positif
Data 370 Ribu Nasabah BTN Bocor? Ini Tanggapan Manajemen|Negatif
WIKA Gelar Program Beasiswa Pendidikan Anak Berprestasi|Positif
Aturan Baru Pinjol OJK, Debt Collector Boleh Tagih Asal Penuhi Syarat|Netral
Aturan Terbaru Saldo Minimum Rekening BCA, BRI, Mandiri dan BNI|Netral
5 Tahun Transformasi BUMN, PTBA Hadirkan Energi Tanpa Henti|Positif
PDN Diretas, Nih Arahan Tegas Erick Thohir ke Semua BUMN!|Negatif
Jubir Erick Thohir: PMN Bukan Buat BUMN Sakit Tapi Penugasan|Netral
DPR Kritik Ide Family Office Luhut: Kan Sudah Ada UU Ciptaker!|Netral
Mantap! WIKA Kantongi Kontrak Baru Rp 8,86 T Hingga Mei 2024|Positif
Duh! Perdagangan Bursa Karbon di RI Masih Jauh di Bawah Ekspektasi|Negatif
Ada Kasus Ahmad Rafif, Bursa: Influencer Jangan Asal Rekomendasi Saham|Netral
Gawat Nih! Saham BBCA Ambrol 1,75%|Negatif
Berkat BBRI, BBNI, & BMRI, IHSG Balik ke 7.200-an Lagi|Positif
Bank Neo Commerce (BBYB) Rights Issue 1,31 M Saham, Incar Rp393,5 M|Positif
Rupiah Menguat, Dolar Turun Jadi Rp16.325|Positif
Targetkan Nol Emisi 2026, Pupuk Indonesia Sulap Karbon Jadi Ini|Positif
Siap-siap, Intip 10 Koin Kripto Berpotensi Cuan di 2024|Netral
Saham Konglomerat Properti Ini Diserbu Investor, Ada Apa?|Positif
Rahasia Bill Gates Duduk di Daftar Orang Terkaya Dunia Selama 18 Tahun|Netral
Dipanggil OJK, Influencer Saham Ahmad Rafif Dipastikan Tak Berizin|Negatif
Harga Saham Wijaya Karya (WIKA) Melesat 77,3% Seminggu, Bos Buka Suara|Positif
5 Bulan, Jumlah Investor TUGU Naik 16,33%! Segini Target Harganya|Positif
Analisis Terbaru Saham BNI (BBNI), Transformasi Bisnis Jadi Katalis|Positif
Gagal Kelola Saham, Situs & Media Sosial Ahmad Rafif Diblokir!|Negatif
Gagal Kelola Saham Rp71 M, Ahmad Rafif Wajib Ganti Rugi!|Negatif
Tok! OJK Hentikan Pengelolaan Dana Investasi Ahmad Rafif|Negatif
Erick Thohir Selamatkan Indofarma: Kalau Ada Korupsi Kita Tangkap!|Netral
Punya Wondr, BNI Bidik Rasio Dana Murah Capai 80%|Positif
PMN Disebut Untuk BUMN Sakit, Ini Kata Erick Thohir|Netral
Mau Bikin Transformasi Besar,BNI Alokasi Belanja IT Rp 1,9 T|Positif
OJK Lawan Balik Michael Steven Kresna Life, Ajukan Kasasi ke MK|Negatif
Investor Kabur hingga Mau Bikin Bursa Tandingan, Ini Respons BEI|Negatif
Investor Muda Tak Lagi Pilih Saham dan Obligasi, Apa Sebabnya?|Netral
Ekonomi Sulit, Banyak Warga RI Tak Kuat Bayar Cicilan Motor|Negatif
Cara Hindari Maling M-Banking yang Bisa Kuras Rekening Anda|Netral
Jokowi Bentar Lagi Lengser, Cek Daftar Harta Kekayaan 7 Presiden RI|Netral
Gagal Kelola Dana Saham, Ini 3 Perintah Satgas untuk Ahmad Rafif!|Negatif
Robert Kiyosaki Ingatkan Krisis, Bitcoin Bisa Tembus US$10 Juta|Netral
Habibie Pernah Bikin Dolar Rp 16.800 Jadi Rp 6.550, Begini Jurusnya|Netral
Pembersih Toilet Jadi Manusia Rp 1.790 T, Tetap Pegang Prinsip Ini|Netral
Ikuti Teladan Nabi, Pria Ini Sukses Kantongi Rp 118 Triliun|Netral
Terbaru! Segini Saldo Minimum Rekening BCA, BRI, BNI dan Mandiri|Netral
Pengelolaan Risiko ESG Kuat, Rating Sustainalytics BRI Terus Membaik|Positif
Kabar Baik! S&P 500 dan Nasdaq Catat Rekor Tertinggi Sepanjang Masa|Positif
Perhatian, Ini Pesan OJK Buat Influencer Kripto|Netral
Hutama Karya Bakal Tuntaskan Tol Trans Sumatera 996 Km di Oktober|Positif
